model,signal_type,precision,recall,f1_score,auc_roc,pr_auc,accuracy,true_anomalies,predicted_anomalies,total_samples,train_time_s,fold,threshold,best_hyperparams
LSTM_AE,traces,0.2633,1.0,0.4169,0.1989,0.2444,0.2633,3022,11477,11477,849.11,3,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,traces,0.8005,0.4355,0.5641,0.5141,0.5255,0.8228,3022,1644,11477,2439.98,3,0.49,"{'d_model': 32, 'nhead': 8, 'n_layers': 2, 'lr': 0.0005426393507845368, 'dropout': 0.49682487746717774, 'epochs': 80}"
CNN1D_AE,traces,0.2633,1.0,0.4169,0.3668,0.3213,0.2633,3022,11477,11477,803.27,3,0.01,"{'filters': 16, 'kernel_size': 3, 'n_layers': 2, 'lr': 0.0004991714898012407, 'dropout': 0.24082818508135387, 'epochs': 50}"
LSTM_VAE,traces,0.2633,1.0,0.4169,0.2761,0.2789,0.2633,3022,11477,11477,452.91,3,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'beta': 0.1595857358814127, 'epochs': 30}"
IsolationForest,metrics,0.4201,0.6956,0.5238,0.5505,0.4996,0.4807,30958,51264,75401,270.84,3,0.01,"{'n_estimators': 350, 'contamination': 0.10913016089144635, 'max_features': 0.5102922471479012, 'max_samples': 0.9849549260809971}"
OneClassSVM,metrics,0.4117,0.9661,0.5773,0.4976,0.4337,0.4192,30958,72651,75401,47.15,3,0.15,"{'kernel': 'sigmoid', 'nu': 0.036503833523887946, 'gamma': 'auto'}"
LSTM_AE,metrics,0.4105,1.0,0.582,0.2005,0.3477,0.4105,30946,75389,75389,4686.92,3,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,metrics,0.4584,0.9978,0.6282,0.8158,0.7715,0.5152,30946,67360,75389,5797.25,3,0.49,"{'d_model': 128, 'nhead': 4, 'n_layers': 2, 'lr': 0.0007162786999897341, 'dropout': 0.012709563372047594, 'epochs': 30}"
CNN1D_AE,metrics,0.4105,1.0,0.582,0.2266,0.3907,0.4105,30946,75389,75389,1006.8,3,0.01,"{'filters': 32, 'kernel_size': 3, 'n_layers': 4, 'lr': 0.0015930522616241021, 'dropout': 0.35403628889802274, 'epochs': 30}"
LSTM_VAE,metrics,0.4105,1.0,0.582,0.1728,0.3154,0.4105,30946,75389,75389,2130.25,3,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'beta': 0.1595857358814127, 'epochs': 30}"
IsolationForest,logs,0.5142,0.6844,0.5872,0.646,0.5396,0.6218,4097,5453,10422,28.99,4,0.09,"{'n_estimators': 350, 'contamination': 0.10913016089144635, 'max_features': 0.5102922471479012, 'max_samples': 0.9849549260809971}"
OneClassSVM,logs,0.405,0.9248,0.5633,0.5917,0.5267,0.4363,4097,9356,10422,13.12,4,0.04,"{'kernel': 'rbf', 'nu': 0.044846856872152424, 'gamma': 'auto'}"
LSTM_AE,logs,0.3922,1.0,0.5634,0.2959,0.4177,0.3922,4081,10406,10406,785.47,4,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,logs,0.3922,1.0,0.5634,0.445,0.4886,0.3922,4081,10406,10406,2581.62,4,0.01,"{'d_model': 32, 'nhead': 8, 'n_layers': 1, 'lr': 0.0002465844721448739, 'dropout': 0.022613644455269033, 'epochs': 50}"
CNN1D_AE,logs,0.3922,1.0,0.5634,0.3367,0.4306,0.3922,4081,10406,10406,600.97,4,0.01,"{'filters': 32, 'kernel_size': 3, 'n_layers': 4, 'lr': 0.0015930522616241021, 'dropout': 0.35403628889802274, 'epochs': 30}"
LSTM_VAE,logs,0.3922,1.0,0.5634,0.2864,0.4229,0.3922,4081,10406,10406,586.18,4,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'beta': 0.1595857358814127, 'epochs': 30}"
IsolationForest,traces,0.2666,0.8384,0.4045,0.5326,0.3546,0.3457,3050,9592,11505,31.78,4,0.01,"{'n_estimators': 350, 'contamination': 0.029529140491285855, 'max_features': 0.6460723242676091, 'max_samples': 0.6831809216468459}"
OneClassSVM,traces,0.2654,0.9984,0.4193,0.522,0.3069,0.2668,3050,11475,11505,19.14,4,0.01,"{'kernel': 'rbf', 'nu': 0.044846856872152424, 'gamma': 'auto'}"
LSTM_AE,traces,0.2641,1.0,0.4178,0.2391,0.3171,0.2641,3034,11489,11489,1105.48,4,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,traces,0.8461,0.8283,0.8371,0.9429,0.8776,0.9149,3034,2970,11489,2503.23,4,0.49,"{'d_model': 128, 'nhead': 8, 'n_layers': 1, 'lr': 0.0040215545266902904, 'dropout': 0.03727532183988541, 'epochs': 100}"
CNN1D_AE,traces,0.2641,1.0,0.4178,0.3732,0.3687,0.2641,3034,11489,11489,1112.92,4,0.01,"{'filters': 16, 'kernel_size': 5, 'n_layers': 4, 'lr': 0.0005170191786366995, 'dropout': 0.14046725484369038, 'epochs': 70}"
LSTM_VAE,traces,0.2641,1.0,0.4178,0.2685,0.295,0.2641,3034,11489,11489,553.57,4,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'beta': 0.1595857358814127, 'epochs': 30}"
IsolationForest,metrics,0.4158,0.685,0.5174,0.5495,0.4962,0.4755,30958,51002,75401,264.8,4,0.01,"{'n_estimators': 350, 'contamination': 0.10913016089144635, 'max_features': 0.5102922471479012, 'max_samples': 0.9849549260809971}"
OneClassSVM,metrics,0.4119,0.8867,0.5625,0.4994,0.4295,0.4336,30958,66648,75401,47.41,4,0.13,"{'kernel': 'sigmoid', 'nu': 0.036503833523887946, 'gamma': 'auto'}"
LSTM_AE,metrics,0.4105,1.0,0.5821,0.2082,0.3658,0.4105,30949,75392,75392,5751.79,4,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,metrics,0.4105,1.0,0.5821,0.3848,0.5303,0.4105,30949,75392,75392,3512.39,4,0.01,"{'d_model': 128, 'nhead': 8, 'n_layers': 1, 'lr': 0.0035290838829581147, 'dropout': 0.1556709937174729, 'epochs': 80}"
CNN1D_AE,metrics,0.4105,1.0,0.5821,0.2111,0.3887,0.4105,30949,75392,75392,1054.79,4,0.01,"{'filters': 32, 'kernel_size': 3, 'n_layers': 4, 'lr': 0.0015930522616241021, 'dropout': 0.35403628889802274, 'epochs': 30}"
LSTM_VAE,metrics,0.4105,1.0,0.5821,0.1696,0.3165,0.4105,30949,75392,75392,2169.37,4,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'beta': 0.1595857358814127, 'epochs': 30}"
IsolationForest,logs,0.516,0.6851,0.5887,0.6457,0.5451,0.6268,4040,5364,10365,23.02,5,0.09,"{'n_estimators': 350, 'contamination': 0.10913016089144635, 'max_features': 0.5102922471479012, 'max_samples': 0.9849549260809971}"
OneClassSVM,logs,0.3985,0.95,0.5614,0.4969,0.419,0.4215,4040,9632,10365,14.57,5,0.34,"{'kernel': 'sigmoid', 'nu': 0.036503833523887946, 'gamma': 'auto'}"
LSTM_AE,logs,0.3891,1.0,0.5602,0.3066,0.4386,0.3891,4028,10353,10353,834.04,5,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,logs,0.3891,1.0,0.5602,0.3726,0.4929,0.3891,4028,10353,10353,2037.02,5,0.01,"{'d_model': 64, 'nhead': 2, 'n_layers': 1, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'epochs': 80}"
CNN1D_AE,logs,0.3891,1.0,0.5602,0.3651,0.4874,0.3891,4028,10353,10353,656.33,5,0.01,"{'filters': 32, 'kernel_size': 3, 'n_layers': 4, 'lr': 0.0015930522616241021, 'dropout': 0.35403628889802274, 'epochs': 30}"
LSTM_VAE,logs,0.3891,1.0,0.5602,0.2999,0.4393,0.3891,4028,10353,10353,611.72,5,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'beta': 0.1595857358814127, 'epochs': 30}"
IsolationForest,traces,0.2697,0.8546,0.4101,0.5304,0.3489,0.3475,3054,9676,11509,25.2,5,0.01,"{'n_estimators': 350, 'contamination': 0.10913016089144635, 'max_features': 0.5102922471479012, 'max_samples': 0.9849549260809971}"
OneClassSVM,traces,0.2654,1.0,0.4194,0.5048,0.2768,0.2654,3054,11508,11509,16.55,5,0.01,"{'kernel': 'poly', 'nu': 0.12374511199743694, 'gamma': 'scale'}"
LSTM_AE,traces,0.2644,1.0,0.4182,0.2437,0.326,0.2644,3039,11494,11494,836.12,5,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,traces,0.2644,1.0,0.4182,0.9905,0.9834,0.2644,3039,11494,11494,2317.3,5,0.01,"{'d_model': 128, 'nhead': 4, 'n_layers': 2, 'lr': 0.00043308435993796206, 'dropout': 0.08002692399577624, 'epochs': 80}"
CNN1D_AE,traces,0.2644,1.0,0.4182,0.4305,0.4504,0.2644,3039,11494,11494,741.09,5,0.01,"{'filters': 64, 'kernel_size': 7, 'n_layers': 4, 'lr': 0.0020799706636213575, 'dropout': 0.1821495010096222, 'epochs': 40}"
LSTM_VAE,traces,0.2644,1.0,0.4182,0.2312,0.3022,0.2644,3039,11494,11494,480.37,5,0.01,"{'hidden_dim': 128, 'n_layers': 1, 'latent_dim': 32, 'lr': 0.000661859559718348, 'dropout': 0.37777556927152434, 'beta': 0.024474916579073802, 'epochs': 30}"
IsolationForest,metrics,0.4193,0.6774,0.518,0.546,0.4938,0.4823,30958,50018,75401,181.55,5,0.01,"{'n_estimators': 100, 'contamination': 0.03183923284706837, 'max_features': 0.5290418060840998, 'max_samples': 0.9330880728874675}"
OneClassSVM,metrics,0.4131,0.9935,0.5836,0.4991,0.4306,0.4179,30958,74448,75401,46.13,5,0.12,"{'kernel': 'sigmoid', 'nu': 0.036503833523887946, 'gamma': 'auto'}"
LSTM_AE,metrics,0.4105,1.0,0.5821,0.2099,0.3714,0.4105,30947,75390,75390,5461.69,5,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,metrics,0.4105,1.0,0.5821,0.4576,0.5946,0.4105,30947,75390,75390,8304.81,5,0.01,"{'d_model': 128, 'nhead': 4, 'n_layers': 2, 'lr': 0.0004529783664935371, 'dropout': 0.11395690701105249, 'epochs': 80}"
CNN1D_AE,metrics,0.4105,1.0,0.5821,0.2037,0.3754,0.4105,30947,75390,75390,1089.1,5,0.01,"{'filters': 32, 'kernel_size': 3, 'n_layers': 4, 'lr': 0.0015930522616241021, 'dropout': 0.35403628889802274, 'epochs': 30}"
LSTM_VAE,metrics,0.4105,1.0,0.5821,0.1701,0.3155,0.4105,30947,75390,75390,2341.73,5,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'beta': 0.1595857358814127, 'epochs': 30}"
DEEP_SVDD,metrics,0.5409,0.9113,0.6788,0.6892,0.537,0.6465,30870,52014,75313,2461.91,1,0.51,"{'hidden_dim': 32, 'n_layers': 1, 'latent_dim': 8, 'lr': 0.006795209110101143, 'dropout': 0.03600636747769633, 'pretrain_epochs': 50, 'finetune_epochs': 30}"
DAGMM,metrics,0.9467,0.8935,0.9193,0.9845,0.9811,0.9357,30870,29134,75313,2718.72,1,0.89,"{'hidden_dim': 128, 'n_layers': 1, 'latent_dim': 16, 'n_gmm': 8, 'lr': 0.0011771845855553457, 'dropout': 0.21185195043961869, 'lambda_energy': 0.3627779512152489, 'lambda_cov_diag': 0.0028584235444893686, 'epochs': 90}"
DEEP_SVDD,metrics,0.4124,1.0,0.5839,0.4823,0.4038,0.4124,31186,75629,75629,2486.67,2,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 8, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'pretrain_epochs': 50, 'finetune_epochs': 20}"
DAGMM,metrics,0.98,0.975,0.9775,0.997,0.9965,0.9815,31186,31028,75629,3021.69,2,0.99,"{'hidden_dim': 128, 'n_layers': 1, 'latent_dim': 16, 'n_gmm': 8, 'lr': 0.0016525238146992878, 'dropout': 0.21097566674743787, 'lambda_energy': 0.4873779959856692, 'lambda_cov_diag': 0.0053421751211427055, 'epochs': 80}"
DEEP_SVDD,metrics,0.9883,0.7583,0.8581,0.9229,0.9334,0.8971,30946,23744,75389,2675.69,3,0.91,"{'hidden_dim': 64, 'n_layers': 1, 'latent_dim': 32, 'lr': 0.009294397522098678, 'dropout': 0.2050856249786202, 'pretrain_epochs': 30, 'finetune_epochs': 40}"
DAGMM,metrics,0.776,0.8712,0.8208,0.8933,0.9008,0.8439,30946,34745,75389,2480.32,3,0.51,"{'hidden_dim': 128, 'n_layers': 1, 'latent_dim': 16, 'n_gmm': 8, 'lr': 0.0018237818113694686, 'dropout': 0.19108076332632054, 'lambda_energy': 0.428554398314919, 'lambda_cov_diag': 0.004688892654970252, 'epochs': 80}"
DEEP_SVDD,metrics,0.946,0.8563,0.8989,0.9121,0.9334,0.9209,30949,28013,75392,2693.08,4,0.55,"{'hidden_dim': 32, 'n_layers': 1, 'latent_dim': 16, 'lr': 0.009914334253524747, 'dropout': 0.07309565838714263, 'pretrain_epochs': 40, 'finetune_epochs': 30}"
DAGMM,metrics,0.9587,0.8035,0.8743,0.9392,0.9408,0.9052,30949,25939,75392,2529.77,4,0.95,"{'hidden_dim': 128, 'n_layers': 1, 'latent_dim': 8, 'n_gmm': 8, 'lr': 0.0035033984911586884, 'dropout': 0.0993578407670862, 'lambda_energy': 0.05063981628665742, 'lambda_cov_diag': 0.006538248584518042, 'epochs': 80}"
DEEP_SVDD,metrics,0.8273,0.8575,0.8421,0.8741,0.7916,0.868,30947,32076,75390,2498.11,5,0.71,"{'hidden_dim': 32, 'n_layers': 1, 'latent_dim': 16, 'lr': 0.00962640518875267, 'dropout': 0.13479367947233611, 'pretrain_epochs': 40, 'finetune_epochs': 30}"
DAGMM,metrics,0.9531,0.9242,0.9384,0.9848,0.9823,0.9502,30947,30007,75390,2683.65,5,0.92,"{'hidden_dim': 128, 'n_layers': 1, 'latent_dim': 16, 'n_gmm': 8, 'lr': 0.0016525238146992878, 'dropout': 0.21097566674743787, 'lambda_energy': 0.4873779959856692, 'lambda_cov_diag': 0.004775939838230008, 'epochs': 30}"
